Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2016","University of Pennsylvania","Biomedical engineering","Returning Students","Female","55",
"2016","University of Pennsylvania","Biomedical engineering","Returning Students","Male","62",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Total for selected values","Total for selected values","175",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","First Time Students","Total for selected values","70",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","First Time Students","Female","34",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","First Time Students","Male","36",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Not collected","Total for selected values","35",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Not collected","Female","24",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Not collected","Male","11",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Returning Students","Total for selected values","70",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Returning Students","Female","33",
"2016","University of Pennsylvania","Biosciences not elsewhere classified","Returning Students","Male","37",
"2016","University of Pennsylvania","Cell and molecular biology","Total for selected values","Total for selected values","331",
"2016","University of Pennsylvania","Cell and molecular biology","First Time Students","Total for selected values","54",
"2016","University of Pennsylvania","Cell and molecular biology","First Time Students","Female","31",
"2016","University of Pennsylvania","Cell and molecular biology","First Time Students","Male","23",
"2016","University of Pennsylvania","Cell and molecular biology","Returning Students","Total for selected values","277",
"2016","University of Pennsylvania","Cell and molecular biology","Returning Students","Female","163",
"2016","University of Pennsylvania","Cell and molecular biology","Returning Students","Male","114",
"2016","University of Pennsylvania","Chemical engineering","Total for selected values","Total for selected values","114",
"2016","University of Pennsylvania","Chemical engineering","First Time Students","Total for selected values","46",
"2016","University of Pennsylvania","Chemical engineering","First Time Students","Female","15",
"2016","University of Pennsylvania","Chemical engineering","First Time Students","Male","31",
"2016","University of Pennsylvania","Chemical engineering","Returning Students","Total for selected values","68",
"2016","University of Pennsylvania","Chemical engineering","Returning Students","Female","20",
"2016","University of Pennsylvania","Chemical engineering","Returning Students","Male","48",
"2016","University of Pennsylvania","Chemistry","Total for selected values","Total for selected values","153",
"2016","University of Pennsylvania","Chemistry","First Time Students","Total for selected values","32",
"2016","University of Pennsylvania","Chemistry","First Time Students","Female","13",
"2016","University of Pennsylvania","Chemistry","First Time Students","Male","19",
"2016","University of Pennsylvania","Chemistry","Returning Students","Total for selected values","121",
"2016","University of Pennsylvania","Chemistry","Returning Students","Female","47",
"2016","University of Pennsylvania","Chemistry","Returning Students","Male","74",
"2016","University of Pennsylvania","Communication","Total for selected values","Total for selected values","83",
"2016","University of Pennsylvania","Communication","First Time Students","Total for selected values","11",
"2016","University of Pennsylvania","Communication","First Time Students","Female","4",
"2016","University of Pennsylvania","Communication","First Time Students","Male","7",
"2016","University of Pennsylvania","Communication","Returning Students","Total for selected values","72",
"2016","University of Pennsylvania","Communication","Returning Students","Female","40",
"2016","University of Pennsylvania","Communication","Returning Students","Male","32",
"2016","University of Pennsylvania","Computer sciences","Total for selected values","Total for selected values","111",
"2016","University of Pennsylvania","Computer sciences","First Time Students","Total for selected values","24",
"2016","University of Pennsylvania","Computer sciences","First Time Students","Female","3",
"2016","University of Pennsylvania","Computer sciences","First Time Students","Male","21",
"2016","University of Pennsylvania","Computer sciences","Not collected","Total for selected values","3",
"2016","University of Pennsylvania","Computer sciences","Not collected","Male","3",
"2016","University of Pennsylvania","Computer sciences","Returning Students","Total for selected values","84",
"2016","University of Pennsylvania","Computer sciences","Returning Students","Female","16",
"2016","University of Pennsylvania","Computer sciences","Returning Students","Male","68",
"2016","University of Pennsylvania","Economics (except agricultural)","Total for selected values","Total for selected values","108",
"2016","University of Pennsylvania","Economics (except agricultural)","First Time Students","Total for selected values","21",
"2016","University of Pennsylvania","Economics (except agricultural)","First Time Students","Female","4",
"2016","University of Pennsylvania","Economics (except agricultural)","First Time Students","Male","17",
"2016","University of Pennsylvania","Economics (except agricultural)","Returning Students","Total for selected values","87",
"2016","University of Pennsylvania","Economics (except agricultural)","Returning Students","Female","21",
"2016","University of Pennsylvania","Economics (except agricultural)","Returning Students","Male","66",
"2016","University of Pennsylvania","Electrical engineering","Total for selected values","Total for selected values","84",
"2016","University of Pennsylvania","Electrical engineering","First Time Students","Total for selected values","15",
"2016","University of Pennsylvania","Electrical engineering","First Time Students","Female","3",
"2016","University of Pennsylvania","Electrical engineering","First Time Students","Male","12",
"2016","University of Pennsylvania","Electrical engineering","Not collected","Total for selected values","2",
"2016","University of Pennsylvania","Electrical engineering","Not collected","Male","2",
"2016","University of Pennsylvania","Electrical engineering","Returning Students","Total for selected values","67",
"2016","University of Pennsylvania","Electrical engineering","Returning Students","Female","11",
"2016","University of Pennsylvania","Electrical engineering","Returning Students","Male","56",
"2016","University of Pennsylvania","Geosciences","Total for selected values","Total for selected values","13",
"2016","University of Pennsylvania","Geosciences","First Time Students","Total for selected values","3",
"2016","University of Pennsylvania","Geosciences","First Time Students","Male","3",
"2016","University of Pennsylvania","Geosciences","Returning Students","Total for selected values","10",
"2016","University of Pennsylvania","Geosciences","Returning Students","Female","6",
"2016","University of Pennsylvania","Geosciences","Returning Students","Male","4",
"2016","University of Pennsylvania","History and philosophy of science","Total for selected values","Total for selected values","26",
"2016","University of Pennsylvania","History and philosophy of science","First Time Students","Total for selected values","5",
"2016","University of Pennsylvania","History and philosophy of science","First Time Students","Female","4",
"2016","University of Pennsylvania","History and philosophy of science","First Time Students","Male","1",
"2016","University of Pennsylvania","History and philosophy of science","Returning Students","Total for selected values","21",
"2016","University of Pennsylvania","History and philosophy of science","Returning Students","Female","14",
"2016","University of Pennsylvania","History and philosophy of science","Returning Students","Male","7",
"2016","University of Pennsylvania","Linguistics","Total for selected values","Total for selected values","39",
"2016","University of Pennsylvania","Linguistics","First Time Students","Total for selected values","6",
"2016","University of Pennsylvania","Linguistics","First Time Students","Female","2",
"2016","University of Pennsylvania","Linguistics","First Time Students","Male","4",
"2016","University of Pennsylvania","Linguistics","Returning Students","Total for selected values","33",
"2016","University of Pennsylvania","Linguistics","Returning Students","Female","21",
"2016","University of Pennsylvania","Linguistics","Returning Students","Male","12",
"2016","University of Pennsylvania","Mathematics and applied mathematics","Total for selected values","Total for selected values","87",
"2016","University of Pennsylvania","Mathematics and applied mathematics","First Time Students","Total for selected values","26",
"2016","University of Pennsylvania","Mathematics and applied mathematics","First Time Students","Female","8",
"2016","University of Pennsylvania","Mathematics and applied mathematics","First Time Students","Male","18",
"2016","University of Pennsylvania","Mathematics and applied mathematics","Not collected","Total for selected values","1",
"2016","University of Pennsylvania","Mathematics and applied mathematics","Not collected","Male","1",
"2016","University of Pennsylvania","Mathematics and applied mathematics","Returning Students","Total for selected values","60",
"2016","University of Pennsylvania","Mathematics and applied mathematics","Returning Students","Female","7",
"2016","University of Pennsylvania","Mathematics and applied mathematics","Returning Students","Male","53",
"2016","University of Pennsylvania","Mechanical engineering","Total for selected values","Total for selected values","214",
"2016","University of Pennsylvania","Mechanical engineering","First Time Students","Total for selected values","68",
"2016","University of Pennsylvania","Mechanical engineering","First Time Students","Female","15",
"2016","University of Pennsylvania","Mechanical engineering","First Time Students","Male","53",
"2016","University of Pennsylvania","Mechanical engineering","Not collected","Total for selected values","4",
"2016","University of Pennsylvania","Mechanical engineering","Not collected","Female","1",
"2016","University of Pennsylvania","Mechanical engineering","Not collected","Male","3",
"2016","University of Pennsylvania","Mechanical engineering","Returning Students","Total for selected values","142",
"2016","University of Pennsylvania","Mechanical engineering","Returning Students","Female","30",
"2016","University of Pennsylvania","Mechanical engineering","Returning Students","Male","112",
"2016","University of Pennsylvania","Metallurgical and materials engineering","Total for selected values","Total for selected values","127",
"2016","University of Pennsylvania","Metallurgical and materials engineering","First Time Students","Total for selected values","64",
"2016","University of Pennsylvania","Metallurgical and materials engineering","First Time Students","Female","17",
"2016","University of Pennsylvania","Metallurgical and materials engineering","First Time Students","Male","47",
"2016","University of Pennsylvania","Metallurgical and materials engineering","Returning Students","Total for selected values","63",
"2016","University of Pennsylvania","Metallurgical and materials engineering","Returning Students","Female","13",
"2016","University of Pennsylvania","Metallurgical and materials engineering","Returning Students","Male","50",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","Total for selected values","Total for selected values","58",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","First Time Students","Total for selected values","12",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","First Time Students","Female","9",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","First Time Students","Male","3",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","Returning Students","Total for selected values","46",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","Returning Students","Female","20",
"2016","University of Pennsylvania","Microbiology, immunology, and virology","Returning Students","Male","26",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Total for selected values","Total for selected values","27",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","First Time Students","Total for selected values","12",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","First Time Students","Female","3",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","First Time Students","Male","9",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Not collected","Total for selected values","2",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Not collected","Female","1",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Not collected","Male","1",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Returning Students","Total for selected values","13",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Returning Students","Female","6",
"2016","University of Pennsylvania","Multidisciplinary and interdisciplinary studies","Returning Students","Male","7",
"2016","University of Pennsylvania","Neurobiology and neuroscience","Total for selected values","Total for selected values","116",
"2016","University of Pennsylvania","Neurobiology and neuroscience","First Time Students","Total for selected values","26",
"2016","University of Pennsylvania","Neurobiology and neuroscience","First Time Students","Female","14",
"2016","University of Pennsylvania","Neurobiology and neuroscience","First Time Students","Male","12",
"2016","University of Pennsylvania","Neurobiology and neuroscience","Returning Students","Total for selected values","90",
"2016","University of Pennsylvania","Neurobiology and neuroscience","Returning Students","Female","53",
"2016","University of Pennsylvania","Neurobiology and neuroscience","Returning Students","Male","37",
"2016","University of Pennsylvania","Pharmacology and toxicology","Total for selected values","Total for selected values","66",
"2016","University of Pennsylvania","Pharmacology and toxicology","First Time Students","Total for selected values","13",
"2016","University of Pennsylvania","Pharmacology and toxicology","First Time Students","Female","8",
"2016","University of Pennsylvania","Pharmacology and toxicology","First Time Students","Male","5",
"2016","University of Pennsylvania","Pharmacology and toxicology","Returning Students","Total for selected values","53",
"2016","University of Pennsylvania","Pharmacology and toxicology","Returning Students","Female","31",
"2016","University of Pennsylvania","Pharmacology and toxicology","Returning Students","Male","22",
"2016","University of Pennsylvania","Physics","Total for selected values","Total for selected values","103",
"2016","University of Pennsylvania","Physics","First Time Students","Total for selected values","17",
"2016","University of Pennsylvania","Physics","First Time Students","Female","3",
"2016","University of Pennsylvania","Physics","First Time Students","Male","14",
"2016","University of Pennsylvania","Physics","Returning Students","Total for selected values","86",
"2016","University of Pennsylvania","Physics","Returning Students","Female","28",
"2016","University of Pennsylvania","Physics","Returning Students","Male","58",
"2016","University of Pennsylvania","Political science and government","Total for selected values","Total for selected values","99",
"2016","University of Pennsylvania","Political science and government","First Time Students","Total for selected values","19",
"2016","University of Pennsylvania","Political science and government","First Time Students","Female","12",
"2016","University of Pennsylvania","Political science and government","First Time Students","Male","7",
"2016","University of Pennsylvania","Political science and government","Returning Students","Total for selected values","80",
"2016","University of Pennsylvania","Political science and government","Returning Students","Female","29",
"2016","University of Pennsylvania","Political science and government","Returning Students","Male","51",
"2016","University of Pennsylvania","Preventive medicine and community health","Total for selected values","Total for selected values","179",
"2016","University of Pennsylvania","Preventive medicine and community health","First Time Students","Total for selected values","55",
"2016","University of Pennsylvania","Preventive medicine and community health","First Time Students","Female","38",
"2016","University of Pennsylvania","Preventive medicine and community health","First Time Students","Male","17",
"2016","University of Pennsylvania","Preventive medicine and community health","Not collected","Total for selected values","66",
"2016","University of Pennsylvania","Preventive medicine and community health","Not collected","Female","51",
"2016","University of Pennsylvania","Preventive medicine and community health","Not collected","Male","15",
"2016","University of Pennsylvania","Preventive medicine and community health","Returning Students","Total for selected values","58",
"2016","University of Pennsylvania","Preventive medicine and community health","Returning Students","Female","50",
"2016","University of Pennsylvania","Preventive medicine and community health","Returning Students","Male","8",
"2016","University of Pennsylvania","Psychology, general","Total for selected values","Total for selected values","60",
"2016","University of Pennsylvania","Psychology, general","First Time Students","Total for selected values","9",
"2016","University of Pennsylvania","Psychology, general","First Time Students","Female","7",
"2016","University of Pennsylvania","Psychology, general","First Time Students","Male","2",
"2016","University of Pennsylvania","Psychology, general","Returning Students","Total for selected values","51",
"2016","University of Pennsylvania","Psychology, general","Returning Students","Female","31",
"2016","University of Pennsylvania","Psychology, general","Returning Students","Male","20",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Total for selected values","Total for selected values","135",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","First Time Students","Total for selected values","31",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","First Time Students","Female","19",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","First Time Students","Male","12",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Not collected","Total for selected values","8",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Not collected","Female","4",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Not collected","Male","4",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Returning Students","Total for selected values","96",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Returning Students","Female","51",
"2016","University of Pennsylvania","Social sciences not elsewhere classified","Returning Students","Male","45",
"2016","University of Pennsylvania","Sociology","Total for selected values","Total for selected values","67",
"2016","University of Pennsylvania","Sociology","First Time Students","Total for selected values","12",
"2016","University of Pennsylvania","Sociology","First Time Students","Female","5",
"2016","University of Pennsylvania","Sociology","First Time Students","Male","7",
"2016","University of Pennsylvania","Sociology","Returning Students","Total for selected values","55",
"2016","University of Pennsylvania","Sociology","Returning Students","Female","36",
"2016","University of Pennsylvania","Sociology","Returning Students","Male","19",
"2016","University of Pennsylvania","Statistics","Total for selected values","Total for selected values","28",
"2016","University of Pennsylvania","Statistics","First Time Students","Total for selected values","6",
"2016","University of Pennsylvania","Statistics","First Time Students","Female","1",
"2016","University of Pennsylvania","Statistics","First Time Students","Male","5",
"2016","University of Pennsylvania","Statistics","Returning Students","Total for selected values","22",
"2016","University of Pennsylvania","Statistics","Returning Students","Female","4",
"2016","University of Pennsylvania","Statistics","Returning Students","Male","18",
"2016","Yale University","Total for selected values","Total for selected values","Total for selected values","2,127",
"2016","Yale University","Agricultural sciences","Total for selected values","Total for selected values","69",
"2016","Yale University","Agricultural sciences","First Time Students","Total for selected values","17",
"2016","Yale University","Agricultural sciences","First Time Students","Female","6",
"2016","Yale University","Agricultural sciences","First Time Students","Male","11",
"2016","Yale University","Agricultural sciences","Returning Students","Total for selected values","52",
"2016","Yale University","Agricultural sciences","Returning Students","Female","32",
"2016","Yale University","Agricultural sciences","Returning Students","Male","20",
"2016","Yale University","Anthropology","Total for selected values","Total for selected values","75",
"2016","Yale University","Anthropology","First Time Students","Total for selected values","14",
"2016","Yale University","Anthropology","First Time Students","Female","9",
"2016","Yale University","Anthropology","First Time Students","Male","5",
"2016","Yale University","Anthropology","Returning Students","Total for selected values","61",
"2016","Yale University","Anthropology","Returning Students","Female","39",
"2016","Yale University","Anthropology","Returning Students","Male","22",
"2016","Yale University","Astronomy and astrophysics","Total for selected values","Total for selected values","24",
"2016","Yale University","Astronomy and astrophysics","First Time Students","Total for selected values","6",
"2016","Yale University","Astronomy and astrophysics","First Time Students","Female","2",
"2016","Yale University","Astronomy and astrophysics","First Time Students","Male","4",
"2016","Yale University","Astronomy and astrophysics","Returning Students","Total for selected values","18",
"2016","Yale University","Astronomy and astrophysics","Returning Students","Female","5",
"2016","Yale University","Astronomy and astrophysics","Returning Students","Male","13",
"2016","Yale University","Biochemistry","Total for selected values","Total for selected values","11",
"2016","Yale University","Biochemistry","First Time Students","Total for selected values","11",
"2016","Yale University","Biochemistry","First Time Students","Female","9",
"2016","Yale University","Biochemistry","First Time Students","Male","2",
"2016","Yale University","Biomedical engineering","Total for selected values","Total for selected values","69",
"2016","Yale University","Biomedical engineering","First Time Students","Total for selected values","20",
"2016","Yale University","Biomedical engineering","First Time Students","Female","10",
"2016","Yale University","Biomedical engineering","First Time Students","Male","10",
"2016","Yale University","Biomedical engineering","Returning Students","Total for selected values","49",
"2016","Yale University","Biomedical engineering","Returning Students","Female","25",
"2016","Yale University","Biomedical engineering","Returning Students","Male","24",
"2016","Yale University","Biometry and epidemiology","Total for selected values","Total for selected values","86",
"2016","Yale University","Biometry and epidemiology","First Time Students","Total for selected values","25",
"2016","Yale University","Biometry and epidemiology","First Time Students","Female","19",
"2016","Yale University","Biometry and epidemiology","First Time Students","Male","6",
"2016","Yale University","Biometry and epidemiology","Returning Students","Total for selected values","61",
"2016","Yale University","Biometry and epidemiology","Returning Students","Female","41",
"2016","Yale University","Biometry and epidemiology","Returning Students","Male","20",
"2016","Yale University","Biophysics","Total for selected values","Total for selected values","67",
"2016","Yale University","Biophysics","Returning Students","Total for selected values","67",
"2016","Yale University","Biophysics","Returning Students","Female","35",
"2016","Yale University","Biophysics","Returning Students","Male","32",
"2016","Yale University","Biosciences not elsewhere classified","Total for selected values","Total for selected values","29",
"2016","Yale University","Biosciences not elsewhere classified","First Time Students","Total for selected values","5",
"2016","Yale University","Biosciences not elsewhere classified","First Time Students","Male","5",
"2016","Yale University","Biosciences not elsewhere classified","Returning Students","Total for selected values","24",
"2016","Yale University","Biosciences not elsewhere classified","Returning Students","Female","9",
"2016","Yale University","Biosciences not elsewhere classified","Returning Students","Male","15",
"2016","Yale University","Cell and molecular biology","Total for selected values","Total for selected values","119",
"2016","Yale University","Cell and molecular biology","First Time Students","Total for selected values","25",
"2016","Yale University","Cell and molecular biology","First Time Students","Female","15",
"2016","Yale University","Cell and molecular biology","First Time Students","Male","10",
"2016","Yale University","Cell and molecular biology","Returning Students","Total for selected values","94",
"2016","Yale University","Cell and molecular biology","Returning Students","Female","49",
"2016","Yale University","Cell and molecular biology","Returning Students","Male","45",
"2016","Yale University","Chemical engineering","Total for selected values","Total for selected values","72",
"2016","Yale University","Chemical engineering","First Time Students","Total for selected values","19",
"2016","Yale University","Chemical engineering","First Time Students","Female","11",
"2016","Yale University","Chemical engineering","First Time Students","Male","8",
"2016","Yale University","Chemical engineering","Returning Students","Total for selected values","53",
"2016","Yale University","Chemical engineering","Returning Students","Female","16",
"2016","Yale University","Chemical engineering","Returning Students","Male","37",
"2016","Yale University","Chemistry","Total for selected values","Total for selected values","177",
"2016","Yale University","Chemistry","First Time Students","Total for selected values","30",
"2016","Yale University","Chemistry","First Time Students","Female","13",
"2016","Yale University","Chemistry","First Time Students","Male","17",
"2016","Yale University","Chemistry","Returning Students","Total for selected values","147",
"2016","Yale University","Chemistry","Returning Students","Female","59",
"2016","Yale University","Chemistry","Returning Students","Male","88",
"2016","Yale University","Computer sciences","Total for selected values","Total for selected values","61",
"2016","Yale University","Computer sciences","First Time Students","Total for selected values","39",
"2016","Yale University","Computer sciences","First Time Students","Female","12",
"2016","Yale University","Computer sciences","First Time Students","Male","27",
"2016","Yale University","Computer sciences","Not collected","Total for selected values","1",
"2016","Yale University","Computer sciences","Not collected","Male","1",
"2016","Yale University","Computer sciences","Returning Students","Total for selected values","21",
"2016","Yale University","Computer sciences","Returning Students","Female","5",
"2016","Yale University","Computer sciences","Returning Students","Male","16",
"2016","Yale University","Ecology","Total for selected values","Total for selected values","33",
"2016","Yale University","Ecology","First Time Students","Total for selected values","4",
"2016","Yale University","Ecology","First Time Students","Female","1",
"2016","Yale University","Ecology","First Time Students","Male","3",
"2016","Yale University","Ecology","Returning Students","Total for selected values","29",
"2016","Yale University","Ecology","Returning Students","Female","12",
"2016","Yale University","Ecology","Returning Students","Male","17",
"2016","Yale University","Economics (except agricultural)","Total for selected values","Total for selected values","147",
"2016","Yale University","Economics (except agricultural)","First Time Students","Total for selected values","49",
"2016","Yale University","Economics (except agricultural)","First Time Students","Female","25",
"2016","Yale University","Economics (except agricultural)","First Time Students","Male","24",
"2016","Yale University","Economics (except agricultural)","Returning Students","Total for selected values","98",
"2016","Yale University","Economics (except agricultural)","Returning Students","Female","29",
"2016","Yale University","Economics (except agricultural)","Returning Students","Male","69",
"2016","Yale University","Electrical engineering","Total for selected values","Total for selected values","51",
"2016","Yale University","Electrical engineering","First Time Students","Total for selected values","10",
"2016","Yale University","Electrical engineering","First Time Students","Female","2",
"2016","Yale University","Electrical engineering","First Time Students","Male","8",
"2016","Yale University","Electrical engineering","Not collected","Total for selected values","1",
"2016","Yale University","Electrical engineering","Not collected","Male","1",
"2016","Yale University","Electrical engineering","Returning Students","Total for selected values","40",
"2016","Yale University","Electrical engineering","Returning Students","Female","10",
"2016","Yale University","Electrical engineering","Returning Students","Male","30",
"2016","Yale University","Genetics","Total for selected values","Total for selected values","54",
"2016","Yale University","Genetics","Returning Students","Total for selected values","54",
"2016","Yale University","Genetics","Returning Students","Female","31",
"2016","Yale University","Genetics","Returning Students","Male","23",
"2016","Yale University","Geosciences","Total for selected values","Total for selected values","50",
"2016","Yale University","Geosciences","First Time Students","Total for selected values","12",
"2016","Yale University","Geosciences","First Time Students","Female","5",
"2016","Yale University","Geosciences","First Time Students","Male","7",
"2016","Yale University","Geosciences","Returning Students","Total for selected values","38",
"2016","Yale University","Geosciences","Returning Students","Female","17",
"2016","Yale University","Geosciences","Returning Students","Male","21",
"2016","Yale University","History and philosophy of science","Total for selected values","Total for selected values","4",
"2016","Yale University","History and philosophy of science","First Time Students","Total for selected values","4",
"2016","Yale University","History and philosophy of science","First Time Students","Female","1",
"2016","Yale University","History and philosophy of science","First Time Students","Male","3",
"2016","Yale University","Linguistics","Total for selected values","Total for selected values","19",
"2016","Yale University","Linguistics","First Time Students","Total for selected values","3",
"2016","Yale University","Linguistics","First Time Students","Female","1",
"2016","Yale University","Linguistics","First Time Students","Male","2",
"2016","Yale University","Linguistics","Returning Students","Total for selected values","16",
"2016","Yale University","Linguistics","Returning Students","Female","5",
"2016","Yale University","Linguistics","Returning Students","Male","11",
"2016","Yale University","Mathematics and applied mathematics","Total for selected values","Total for selected values","38",
"2016","Yale University","Mathematics and applied mathematics","First Time Students","Total for selected values","6",
"2016","Yale University","Mathematics and applied mathematics","First Time Students","Male","6",
"2016","Yale University","Mathematics and applied mathematics","Returning Students","Total for selected values","32",
"2016","Yale University","Mathematics and applied mathematics","Returning Students","Female","4",
"2016","Yale University","Mathematics and applied mathematics","Returning Students","Male","28",
"2016","Yale University","Mechanical engineering","Total for selected values","Total for selected values","41",
"2016","Yale University","Mechanical engineering","First Time Students","Total for selected values","9",
"2016","Yale University","Mechanical engineering","First Time Students","Female","4",
"2016","Yale University","Mechanical engineering","First Time Students","Male","5",
"2016","Yale University","Mechanical engineering","Returning Students","Total for selected values","32",
"2016","Yale University","Mechanical engineering","Returning Students","Female","5",
"2016","Yale University","Mechanical engineering","Returning Students","Male","27",
"2016","Yale University","Microbiology, immunology, and virology","Total for selected values","Total for selected values","79",
"2016","Yale University","Microbiology, immunology, and virology","First Time Students","Total for selected values","11",
"2016","Yale University","Microbiology, immunology, and virology","First Time Students","Female","8",
"2016","Yale University","Microbiology, immunology, and virology","First Time Students","Male","3",
"2016","Yale University","Microbiology, immunology, and virology","Returning Students","Total for selected values","68",
"2016","Yale University","Microbiology, immunology, and virology","Returning Students","Female","38",
"2016","Yale University","Microbiology, immunology, and virology","Returning Students","Male","30",
"2016","Yale University","Neurobiology and neuroscience","Total for selected values","Total for selected values","71",
"2016","Yale University","Neurobiology and neuroscience","First Time Students","Total for selected values","17",
"2016","Yale University","Neurobiology and neuroscience","First Time Students","Female","8",
"2016","Yale University","Neurobiology and neuroscience","First Time Students","Male","9",
"2016","Yale University","Neurobiology and neuroscience","Returning Students","Total for selected values","54",
"2016","Yale University","Neurobiology and neuroscience","Returning Students","Female","28",
"2016","Yale University","Neurobiology and neuroscience","Returning Students","Male","26",
"2016","Yale University","Nursing science","Total for selected values","Total for selected values","12",
"2016","Yale University","Nursing science","First Time Students","Total for selected values","4",
"2016","Yale University","Nursing science","First Time Students","Female","4",
"2016","Yale University","Nursing science","Returning Students","Total for selected values","8",
"2016","Yale University","Nursing science","Returning Students","Female","7",
"2016","Yale University","Nursing science","Returning Students","Male","1",
"2016","Yale University","Pathology","Total for selected values","Total for selected values","16",
"2016","Yale University","Pathology","Returning Students","Total for selected values","16",
"2016","Yale University","Pathology","Returning Students","Female","12",
"2016","Yale University","Pathology","Returning Students","Male","4",
"2016","Yale University","Pharmacology and toxicology","Total for selected values","Total for selected values","29",
"2016","Yale University","Pharmacology and toxicology","Returning Students","Total for selected values","29",
"2016","Yale University","Pharmacology and toxicology","Returning Students","Female","12",
"2016","Yale University","Pharmacology and toxicology","Returning Students","Male","17",
"2016","Yale University","Physics","Total for selected values","Total for selected values","157",
"2016","Yale University","Physics","First Time Students","Total for selected values","27",
"2016","Yale University","Physics","First Time Students","Female","8",
"2016","Yale University","Physics","First Time Students","Male","19",
"2016","Yale University","Physics","Returning Students","Total for selected values","130",
"2016","Yale University","Physics","Returning Students","Female","32",
"2016","Yale University","Physics","Returning Students","Male","98",
"2016","Yale University","Physiology","Total for selected values","Total for selected values","24",
"2016","Yale University","Physiology","First Time Students","Total for selected values","9",
"2016","Yale University","Physiology","First Time Students","Female","4",
"2016","Yale University","Physiology","First Time Students","Male","5",
"2016","Yale University","Physiology","Returning Students","Total for selected values","15",
"2016","Yale University","Physiology","Returning Students","Female","7",
"2016","Yale University","Physiology","Returning Students","Male","8",
"2016","Yale University","Political science and government","Total for selected values","Total for selected values","161",
"2016","Yale University","Political science and government","First Time Students","Total for selected values","51",
"2016","Yale University","Political science and government","First Time Students","Female","19",
"2016","Yale University","Political science and government","First Time Students","Male","32",
"2016","Yale University","Political science and government","Returning Students","Total for selected values","110",
"2016","Yale University","Political science and government","Returning Students","Female","51",
"2016","Yale University","Political science and government","Returning Students","Male","59",
"2016","Yale University","Psychology, general","Total for selected values","Total for selected values","81",
"2016","Yale University","Psychology, general","First Time Students","Total for selected values","14",
"2016","Yale University","Psychology, general","First Time Students","Female","10",
"2016","Yale University","Psychology, general","First Time Students","Male","4",
"2016","Yale University","Psychology, general","Returning Students","Total for selected values","67",
"2016","Yale University","Psychology, general","Returning Students","Female","40",
"2016","Yale University","Psychology, general","Returning Students","Male","27",
"2016","Yale University","Social sciences not elsewhere classified","Total for selected values","Total for selected values","115",
"2016","Yale University","Social sciences not elsewhere classified","First Time Students","Total for selected values","41",
"2016","Yale University","Social sciences not elsewhere classified","First Time Students","Female","21",
"2016","Yale University","Social sciences not elsewhere classified","First Time Students","Male","20",
"2016","Yale University","Social sciences not elsewhere classified","Returning Students","Total for selected values","74",
"2016","Yale University","Social sciences not elsewhere classified","Returning Students","Female","46",
"2016","Yale University","Social sciences not elsewhere classified","Returning Students","Male","28",
"2016","Yale University","Sociology","Total for selected values","Total for selected values","50",
"2016","Yale University","Sociology","First Time Students","Total for selected values","6",
"2016","Yale University","Sociology","First Time Students","Female","2",
"2016","Yale University","Sociology","First Time Students","Male","4",
"2016","Yale University","Sociology","Returning Students","Total for selected values","44",
"2016","Yale University","Sociology","Returning Students","Female","22",
"2016","Yale University","Sociology","Returning Students","Male","22",
"2016","Yale University","Statistics","Total for selected values","Total for selected values","36",
