Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2004","Columbia Univ in the City of New York","Social sciences","Total for selected values","607",
"2004","Columbia Univ in the City of New York","Social sciences","Female","303",
"2004","Columbia Univ in the City of New York","Social sciences","Male","304",
"2003","Total for selected values","Total for selected values","Total for selected values","2,429",
"2003","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,429",
"2003","Columbia Univ in the City of New York","Biological sciences","Total for selected values","259",
"2003","Columbia Univ in the City of New York","Biological sciences","Female","153",
"2003","Columbia Univ in the City of New York","Biological sciences","Male","106",
"2003","Columbia Univ in the City of New York","Computer sciences","Total for selected values","307",
"2003","Columbia Univ in the City of New York","Computer sciences","Female","63",
"2003","Columbia Univ in the City of New York","Computer sciences","Male","244",
"2003","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","115",
"2003","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","52",
"2003","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","63",
"2003","Columbia Univ in the City of New York","Engineering","Total for selected values","759",
"2003","Columbia Univ in the City of New York","Engineering","Female","186",
"2003","Columbia Univ in the City of New York","Engineering","Male","573",
"2003","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","260",
"2003","Columbia Univ in the City of New York","Mathematics and statistics","Female","69",
"2003","Columbia Univ in the City of New York","Mathematics and statistics","Male","191",
"2003","Columbia Univ in the City of New York","Other health","Total for selected values","75",
"2003","Columbia Univ in the City of New York","Other health","Female","58",
"2003","Columbia Univ in the City of New York","Other health","Male","17",
"2003","Columbia Univ in the City of New York","Physical sciences","Total for selected values","256",
"2003","Columbia Univ in the City of New York","Physical sciences","Female","69",
"2003","Columbia Univ in the City of New York","Physical sciences","Male","187",
"2003","Columbia Univ in the City of New York","Psychology","Total for selected values","35",
"2003","Columbia Univ in the City of New York","Psychology","Female","20",
"2003","Columbia Univ in the City of New York","Psychology","Male","15",
"2003","Columbia Univ in the City of New York","Social sciences","Total for selected values","363",
"2003","Columbia Univ in the City of New York","Social sciences","Female","183",
"2003","Columbia Univ in the City of New York","Social sciences","Male","180",
"2002","Total for selected values","Total for selected values","Total for selected values","2,197",
"2002","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,197",
"2002","Columbia Univ in the City of New York","Biological sciences","Total for selected values","247",
"2002","Columbia Univ in the City of New York","Biological sciences","Female","145",
"2002","Columbia Univ in the City of New York","Biological sciences","Male","102",
"2002","Columbia Univ in the City of New York","Computer sciences","Total for selected values","234",
"2002","Columbia Univ in the City of New York","Computer sciences","Female","47",
"2002","Columbia Univ in the City of New York","Computer sciences","Male","187",
"2002","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","116",
"2002","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","52",
"2002","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","64",
"2002","Columbia Univ in the City of New York","Engineering","Total for selected values","646",
"2002","Columbia Univ in the City of New York","Engineering","Female","159",
"2002","Columbia Univ in the City of New York","Engineering","Male","487",
"2002","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","232",
"2002","Columbia Univ in the City of New York","Mathematics and statistics","Female","71",
"2002","Columbia Univ in the City of New York","Mathematics and statistics","Male","161",
"2002","Columbia Univ in the City of New York","Other health","Total for selected values","65",
"2002","Columbia Univ in the City of New York","Other health","Female","51",
"2002","Columbia Univ in the City of New York","Other health","Male","14",
"2002","Columbia Univ in the City of New York","Physical sciences","Total for selected values","256",
"2002","Columbia Univ in the City of New York","Physical sciences","Female","65",
"2002","Columbia Univ in the City of New York","Physical sciences","Male","191",
"2002","Columbia Univ in the City of New York","Psychology","Total for selected values","31",
"2002","Columbia Univ in the City of New York","Psychology","Female","18",
"2002","Columbia Univ in the City of New York","Psychology","Male","13",
"2002","Columbia Univ in the City of New York","Social sciences","Total for selected values","370",
"2002","Columbia Univ in the City of New York","Social sciences","Female","195",
"2002","Columbia Univ in the City of New York","Social sciences","Male","175",
"2001","Total for selected values","Total for selected values","Total for selected values","2,062",
"2001","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,062",
"2001","Columbia Univ in the City of New York","Biological sciences","Total for selected values","201",
"2001","Columbia Univ in the City of New York","Biological sciences","Female","109",
"2001","Columbia Univ in the City of New York","Biological sciences","Male","92",
"2001","Columbia Univ in the City of New York","Computer sciences","Total for selected values","222",
"2001","Columbia Univ in the City of New York","Computer sciences","Female","50",
"2001","Columbia Univ in the City of New York","Computer sciences","Male","172",
"2001","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","123",
"2001","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","57",
"2001","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","66",
"2001","Columbia Univ in the City of New York","Engineering","Total for selected values","610",
"2001","Columbia Univ in the City of New York","Engineering","Female","138",
"2001","Columbia Univ in the City of New York","Engineering","Male","472",
"2001","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","173",
"2001","Columbia Univ in the City of New York","Mathematics and statistics","Female","47",
"2001","Columbia Univ in the City of New York","Mathematics and statistics","Male","126",
"2001","Columbia Univ in the City of New York","Other health","Total for selected values","88",
"2001","Columbia Univ in the City of New York","Other health","Female","68",
"2001","Columbia Univ in the City of New York","Other health","Male","20",
"2001","Columbia Univ in the City of New York","Physical sciences","Total for selected values","230",
"2001","Columbia Univ in the City of New York","Physical sciences","Female","62",
"2001","Columbia Univ in the City of New York","Physical sciences","Male","168",
"2001","Columbia Univ in the City of New York","Psychology","Total for selected values","33",
"2001","Columbia Univ in the City of New York","Psychology","Female","17",
"2001","Columbia Univ in the City of New York","Psychology","Male","16",
"2001","Columbia Univ in the City of New York","Social sciences","Total for selected values","382",
"2001","Columbia Univ in the City of New York","Social sciences","Female","203",
"2001","Columbia Univ in the City of New York","Social sciences","Male","179",
"2000","Total for selected values","Total for selected values","Total for selected values","2,278",
"2000","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,278",
"2000","Columbia Univ in the City of New York","Biological sciences","Total for selected values","334",
"2000","Columbia Univ in the City of New York","Biological sciences","Female","195",
"2000","Columbia Univ in the City of New York","Biological sciences","Male","139",
"2000","Columbia Univ in the City of New York","Computer sciences","Total for selected values","176",
"2000","Columbia Univ in the City of New York","Computer sciences","Female","26",
"2000","Columbia Univ in the City of New York","Computer sciences","Male","150",
"2000","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","120",
"2000","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","48",
"2000","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","72",
"2000","Columbia Univ in the City of New York","Engineering","Total for selected values","569",
"2000","Columbia Univ in the City of New York","Engineering","Female","116",
"2000","Columbia Univ in the City of New York","Engineering","Male","453",
"2000","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","134",
"2000","Columbia Univ in the City of New York","Mathematics and statistics","Female","43",
"2000","Columbia Univ in the City of New York","Mathematics and statistics","Male","91",
"2000","Columbia Univ in the City of New York","Other health","Total for selected values","96",
"2000","Columbia Univ in the City of New York","Other health","Female","66",
"2000","Columbia Univ in the City of New York","Other health","Male","30",
"2000","Columbia Univ in the City of New York","Physical sciences","Total for selected values","197",
"2000","Columbia Univ in the City of New York","Physical sciences","Female","49",
"2000","Columbia Univ in the City of New York","Physical sciences","Male","148",
"2000","Columbia Univ in the City of New York","Social sciences","Total for selected values","652",
"2000","Columbia Univ in the City of New York","Social sciences","Female","328",
"2000","Columbia Univ in the City of New York","Social sciences","Male","324",
"1999","Total for selected values","Total for selected values","Total for selected values","2,333",
"1999","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,333",
"1999","Columbia Univ in the City of New York","Biological sciences","Total for selected values","477",
"1999","Columbia Univ in the City of New York","Biological sciences","Female","301",
"1999","Columbia Univ in the City of New York","Biological sciences","Male","176",
"1999","Columbia Univ in the City of New York","Computer sciences","Total for selected values","176",
"1999","Columbia Univ in the City of New York","Computer sciences","Female","26",
"1999","Columbia Univ in the City of New York","Computer sciences","Male","150",
"1999","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","90",
"1999","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","30",
"1999","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","60",
"1999","Columbia Univ in the City of New York","Engineering","Total for selected values","605",
"1999","Columbia Univ in the City of New York","Engineering","Female","126",
"1999","Columbia Univ in the City of New York","Engineering","Male","479",
"1999","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","124",
"1999","Columbia Univ in the City of New York","Mathematics and statistics","Female","37",
"1999","Columbia Univ in the City of New York","Mathematics and statistics","Male","87",
"1999","Columbia Univ in the City of New York","Physical sciences","Total for selected values","187",
"1999","Columbia Univ in the City of New York","Physical sciences","Female","45",
"1999","Columbia Univ in the City of New York","Physical sciences","Male","142",
"1999","Columbia Univ in the City of New York","Psychology","Total for selected values","28",
"1999","Columbia Univ in the City of New York","Psychology","Female","13",
"1999","Columbia Univ in the City of New York","Psychology","Male","15",
"1999","Columbia Univ in the City of New York","Social sciences","Total for selected values","646",
"1999","Columbia Univ in the City of New York","Social sciences","Female","312",
"1999","Columbia Univ in the City of New York","Social sciences","Male","334",
"1998","Total for selected values","Total for selected values","Total for selected values","2,419",
"1998","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,419",
"1998","Columbia Univ in the City of New York","Biological sciences","Total for selected values","447",
"1998","Columbia Univ in the City of New York","Biological sciences","Female","270",
"1998","Columbia Univ in the City of New York","Biological sciences","Male","177",
"1998","Columbia Univ in the City of New York","Computer sciences","Total for selected values","133",
"1998","Columbia Univ in the City of New York","Computer sciences","Female","19",
"1998","Columbia Univ in the City of New York","Computer sciences","Male","114",
"1998","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","95",
"1998","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","38",
"1998","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","57",
"1998","Columbia Univ in the City of New York","Engineering","Total for selected values","623",
"1998","Columbia Univ in the City of New York","Engineering","Female","112",
"1998","Columbia Univ in the City of New York","Engineering","Male","511",
"1998","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","148",
"1998","Columbia Univ in the City of New York","Mathematics and statistics","Female","45",
"1998","Columbia Univ in the City of New York","Mathematics and statistics","Male","103",
"1998","Columbia Univ in the City of New York","Physical sciences","Total for selected values","196",
"1998","Columbia Univ in the City of New York","Physical sciences","Female","45",
"1998","Columbia Univ in the City of New York","Physical sciences","Male","151",
"1998","Columbia Univ in the City of New York","Psychology","Total for selected values","29",
"1998","Columbia Univ in the City of New York","Psychology","Female","13",
"1998","Columbia Univ in the City of New York","Psychology","Male","16",
"1998","Columbia Univ in the City of New York","Social sciences","Total for selected values","748",
"1998","Columbia Univ in the City of New York","Social sciences","Female","381",
"1998","Columbia Univ in the City of New York","Social sciences","Male","367",
"1997","Total for selected values","Total for selected values","Total for selected values","2,389",
"1997","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,389",
"1997","Columbia Univ in the City of New York","Biological sciences","Total for selected values","557",
"1997","Columbia Univ in the City of New York","Biological sciences","Female","297",
"1997","Columbia Univ in the City of New York","Biological sciences","Male","260",
"1997","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","4",
"1997","Columbia Univ in the City of New York","Clinical medicine","Female","1",
"1997","Columbia Univ in the City of New York","Clinical medicine","Male","3",
"1997","Columbia Univ in the City of New York","Computer sciences","Total for selected values","86",
"1997","Columbia Univ in the City of New York","Computer sciences","Female","11",
"1997","Columbia Univ in the City of New York","Computer sciences","Male","75",
"1997","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","87",
"1997","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","36",
"1997","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","51",
"1997","Columbia Univ in the City of New York","Engineering","Total for selected values","669",
"1997","Columbia Univ in the City of New York","Engineering","Female","113",
"1997","Columbia Univ in the City of New York","Engineering","Male","556",
"1997","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","98",
"1997","Columbia Univ in the City of New York","Mathematics and statistics","Female","24",
"1997","Columbia Univ in the City of New York","Mathematics and statistics","Male","74",
"1997","Columbia Univ in the City of New York","Physical sciences","Total for selected values","202",
"1997","Columbia Univ in the City of New York","Physical sciences","Female","50",
"1997","Columbia Univ in the City of New York","Physical sciences","Male","152",
"1997","Columbia Univ in the City of New York","Psychology","Total for selected values","31",
"1997","Columbia Univ in the City of New York","Psychology","Female","15",
"1997","Columbia Univ in the City of New York","Psychology","Male","16",
"1997","Columbia Univ in the City of New York","Social sciences","Total for selected values","655",
"1997","Columbia Univ in the City of New York","Social sciences","Female","307",
"1997","Columbia Univ in the City of New York","Social sciences","Male","348",
"1996","Total for selected values","Total for selected values","Total for selected values","2,442",
"1996","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,442",
"1996","Columbia Univ in the City of New York","Biological sciences","Total for selected values","451",
"1996","Columbia Univ in the City of New York","Biological sciences","Female","217",
"1996","Columbia Univ in the City of New York","Biological sciences","Male","234",
"1996","Columbia Univ in the City of New York","Computer sciences","Total for selected values","158",
"1996","Columbia Univ in the City of New York","Computer sciences","Female","19",
"1996","Columbia Univ in the City of New York","Computer sciences","Male","139",
"1996","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","86",
"1996","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","33",
"1996","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","53",
"1996","Columbia Univ in the City of New York","Engineering","Total for selected values","678",
"1996","Columbia Univ in the City of New York","Engineering","Female","95",
"1996","Columbia Univ in the City of New York","Engineering","Male","583",
"1996","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","122",
"1996","Columbia Univ in the City of New York","Mathematics and statistics","Female","29",
"1996","Columbia Univ in the City of New York","Mathematics and statistics","Male","93",
"1996","Columbia Univ in the City of New York","Physical sciences","Total for selected values","206",
"1996","Columbia Univ in the City of New York","Physical sciences","Female","53",
"1996","Columbia Univ in the City of New York","Physical sciences","Male","153",
"1996","Columbia Univ in the City of New York","Psychology","Total for selected values","26",
"1996","Columbia Univ in the City of New York","Psychology","Female","12",
"1996","Columbia Univ in the City of New York","Psychology","Male","14",
"1996","Columbia Univ in the City of New York","Social sciences","Total for selected values","715",
"1996","Columbia Univ in the City of New York","Social sciences","Female","288",
"1996","Columbia Univ in the City of New York","Social sciences","Male","427",
"1995","Total for selected values","Total for selected values","Total for selected values","2,909",
"1995","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,909",
"1995","Columbia Univ in the City of New York","Biological sciences","Total for selected values","433",
"1995","Columbia Univ in the City of New York","Biological sciences","Female","189",
"1995","Columbia Univ in the City of New York","Biological sciences","Male","244",
"1995","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","600",
"1995","Columbia Univ in the City of New York","Clinical medicine","Female","395",
"1995","Columbia Univ in the City of New York","Clinical medicine","Male","205",
"1995","Columbia Univ in the City of New York","Computer sciences","Total for selected values","181",
"1995","Columbia Univ in the City of New York","Computer sciences","Female","28",
"1995","Columbia Univ in the City of New York","Computer sciences","Male","153",
"1995","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","93",
"1995","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","38",
"1995","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","55",
"1995","Columbia Univ in the City of New York","Engineering","Total for selected values","513",
"1995","Columbia Univ in the City of New York","Engineering","Female","55",
"1995","Columbia Univ in the City of New York","Engineering","Male","458",
"1995","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","117",
"1995","Columbia Univ in the City of New York","Mathematics and statistics","Female","28",
"1995","Columbia Univ in the City of New York","Mathematics and statistics","Male","89",
"1995","Columbia Univ in the City of New York","Physical sciences","Total for selected values","215",
"1995","Columbia Univ in the City of New York","Physical sciences","Female","54",
"1995","Columbia Univ in the City of New York","Physical sciences","Male","161",
"1995","Columbia Univ in the City of New York","Psychology","Total for selected values","36",
"1995","Columbia Univ in the City of New York","Psychology","Female","17",
"1995","Columbia Univ in the City of New York","Psychology","Male","19",
"1995","Columbia Univ in the City of New York","Social sciences","Total for selected values","721",
"1995","Columbia Univ in the City of New York","Social sciences","Female","326",
"1995","Columbia Univ in the City of New York","Social sciences","Male","395",
"1994","Total for selected values","Total for selected values","Total for selected values","3,006",
"1994","Columbia Univ in the City of New York","Total for selected values","Total for selected values","3,006",
"1994","Columbia Univ in the City of New York","Biological sciences","Total for selected values","459",
"1994","Columbia Univ in the City of New York","Biological sciences","Female","204",
"1994","Columbia Univ in the City of New York","Biological sciences","Male","255",
"1994","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","595",
"1994","Columbia Univ in the City of New York","Clinical medicine","Female","399",
"1994","Columbia Univ in the City of New York","Clinical medicine","Male","196",
"1994","Columbia Univ in the City of New York","Computer sciences","Total for selected values","165",
"1994","Columbia Univ in the City of New York","Computer sciences","Female","32",
"1994","Columbia Univ in the City of New York","Computer sciences","Male","133",
"1994","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","103",
"1994","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","38",
"1994","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","65",
"1994","Columbia Univ in the City of New York","Engineering","Total for selected values","572",
"1994","Columbia Univ in the City of New York","Engineering","Female","70",
"1994","Columbia Univ in the City of New York","Engineering","Male","502",
"1994","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","109",
"1994","Columbia Univ in the City of New York","Mathematics and statistics","Female","26",
"1994","Columbia Univ in the City of New York","Mathematics and statistics","Male","83",
"1994","Columbia Univ in the City of New York","Physical sciences","Total for selected values","220",
"1994","Columbia Univ in the City of New York","Physical sciences","Female","57",
"1994","Columbia Univ in the City of New York","Physical sciences","Male","163",
"1994","Columbia Univ in the City of New York","Psychology","Total for selected values","29",
"1994","Columbia Univ in the City of New York","Psychology","Female","15",
"1994","Columbia Univ in the City of New York","Psychology","Male","14",
"1994","Columbia Univ in the City of New York","Social sciences","Total for selected values","754",
"1994","Columbia Univ in the City of New York","Social sciences","Female","295",
"1994","Columbia Univ in the City of New York","Social sciences","Male","459",


NOTES:,

"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Graduate Students and Postdoctorates in Science and Engineering Survey."
Downloaded 2019/03/30 at 17:01:14 PM EST,
